State,Party,Candidate,Amount (millions),Cook Rating
Florida,Democrat,Joshua Joseph Weil,15.5,Likely Republican
Florida,Republican,Ashley Moody,2.7,Likely Republican
Georgia,Democrat,T. Jonathan Ossoff,53.2,Likely Democrat
Georgia,Republican,Derek Dooley,4.1,Likely Democrat
Iowa,Democrat,Zach P Wahls,3.6,Lean Republican
Iowa,Republican,Ashley Hinson Arenholz,4.5,Lean Republican
Maine,Democrat,Graham Platner,16.1,Toss-up
Maine,Republican,Susan M. Collins,7.3,Toss-up
Montana,Democrat,Reilly Neill,0.2,Likely Republican
Montana,Republican,Steve Daines,1.4,Likely Republican
North Carolina,Democrat,Roy Cooper,10.7,Toss-up
North Carolina,Republican,Michael Whatley,3.8,Toss-up
Ohio,Democrat,Sherrod Brown,21.1,Lean Democrat
Ohio,Republican,Jon Husted,4.3,Lean Democrat
Texas,Democrat,James Talarico,40.1,Lean Democrat
Texas,Republican,Warren Kenneth Jr. Paxton,7.6,Lean Democrat
